country,expense,year,life,continent
Albania,196.53778549,1995,72.2360243902,Europe
Algeria,252.76942406,1995,68.1210731707,Africa
Angola,91.4636206,1995,42.0514634146,Africa
Antigua and Barbuda,611.42130572,1995,72.3176829268,North America
Argentina,646.08439673,1995,72.6651219512,South America
Armenia,101.52726448,1995,68.7635609756,Asia
Australia,1640.93480951,1995,77.8292682927,Oceania
Austria,2249.46831607,1995,76.6682926829,Europe
Azerbaijan,138.65410533,1995,64.5758292683,Asia
Bahrain,1504.59152707,1995,73.5550731707,Asia
Bangladesh,33.84762153,1995,61.8873902439,Asia
Barbados,475.10547584,1995,72.2843902439,North America
Belarus,260.12697068,1995,68.4609756098,Europe
Belgium,1713.61625094,1995,76.8407317073,Europe
Belize,192.20406205,1995,69.5887804878,North America
Benin,47.83495731,1995,54.8159512195,Africa
Bhutan,84.99506561,1995,56.3997317073,Asia
Bolivia,111.61513711,1995,57.8632926829,South America
Bosnia and Herzegovina,112.55353516,1995,71.566097561,Europe
Botswana,271.24097484,1995,56.2361219512,Africa
Brazil,524.47851809,1995,67.603195122,South America
Brunei Darussalam,1694.93340995,1995,74.2229512195,Asia
Bulgaria,290.272253,1995,71.0534146341,Europe
Burkina Faso,31.09321985,1995,49.3383658537,Africa
Burundi,32.54320045,1995,48.8007804878,Africa
Cambodia,43.15394376,1995,55.1216585366,Asia
Cameroon,61.59151072,1995,53.2186097561,Africa
Canada,2076.42379435,1995,77.9775609756,North America
Central African Republic,22.73567414,1995,46.8462439024,Africa
Chad,43.90132317,1995,47.4049268293,Africa
Chile,389.74824274,1995,74.8303902439,South America
Colombia,415.93041136,1995,69.4269268293,South America
Comoros,47.94133691,1995,58.6971707317,Africa
Costa Rica,399.57095001,1995,76.5586097561,North America
Croatia,548.80424121,1995,72.0843902439,Europe
Cuba,343.88303927,1995,75.409,North America
Cyprus,731.35443435,1995,77.2746585366,Asia
Czech Republic,897.5425316,1995,73.0748780488,Europe
Denmark,1875.16138489,1995,75.2126829268,Europe
Djibouti,68.58518823,1995,57.0534146341,Africa
Dominican Republic,237.60964369,1995,69.7205121951,North America
Ecuador,191.45106056,1995,71.2268292683,South America
El Salvador,267.31110503,1995,67.205195122,North America
Equatorial Guinea,69.70950705,1995,50.3548780488,Africa
Eritrea,51.09138134,1995,52.4046097561,Africa
Estonia,396.93215947,1995,67.543902439,Europe
Ethiopia,12.40728922,1995,49.3055121951,Africa
Fiji,137.8804669,1995,66.638902439,Oceania
Finland,1480.08882908,1995,76.4095121951,Europe
France,2102.33687667,1995,77.7512195122,Europe
Gabon,498.49849548,1995,60.8291463415,Africa
Georgia,121.81394775,1995,70.2327317073,Asia
Germany,2279.9965003,1995,76.4219512195,Europe
Ghana,74.4898744,1995,57.5027073171,Africa
Greece,1266.53216041,1995,77.5853658537,Europe
Grenada,378.77235022,1995,69.3175121951,North America
Guatemala,160.74635226,1995,64.9629756098,North America
Guinea,26.91544636,1995,51.6996829268,Africa
Guinea-Bissau,129.82506255,1995,50.5678536585,Africa
Guyana,167.76223066,1995,64.2256585366,South America
Haiti,59.65520671,1995,56.2756585366,North America
Honduras,130.18168966,1995,68.8583902439,North America
Hungary,658.55632919,1995,69.7917073171,Europe
Iceland,1909.6392525,1995,77.9843902439,Europe
India,60.30681297,1995,60.4443658537,Asia
Indonesia,85.89906302,1995,65.0018780488,Asia
Israel,1440.23266074,1995,77.4512195122,Asia
Italy,1559.33449502,1995,78.1707317073,Europe
Jamaica,261.43233339,1995,71.9423902439,North America
Japan,1533.51562077,1995,79.5363414634,Asia
Jordan,450.65887569,1995,70.9257317073,Asia
Kazakhstan,270.11166849,1995,64.9195121951,Asia
Kenya,68.31216992,1995,54.4577317073,Africa
Kiribati,96.50716722,1995,62.5056585366,Oceania
Kuwait,2164.37865043,1995,72.888097561,Asia
Latvia,221.12250745,1995,66.3912195122,Europe
Lebanon,1065.02365387,1995,72.068195122,Asia
Lesotho,79.75557118,1995,56.8378780488,Africa
Libya,611.42298291,1995,69.950902439,Africa
Lithuania,332.14874763,1995,69.0063414634,Europe
Luxembourg,2188.85059838,1995,76.512195122,Europe
Madagascar,41.55959896,1995,54.6140487805,Africa
Malawi,22.13939492,1995,43.4787073171,Africa
Malaysia,303.3105786,1995,71.8631219512,Asia
Maldives,154.96548296,1995,65.5604878049,Asia
Mali,43.9324028,1995,47.6549756098,Africa
Malta,898.48321909,1995,77.1414634146,Europe
Mauritania,96.17765515,1995,59.3794878049,Africa
Mauritius,238.10863682,1995,70.3258536585,Africa
Mexico,377.89974021,1995,72.7397804878,North America
Moldova,145.00566158,1995,66.7278292683,Europe
Mongolia,97.50558722,1995,61.2105853659,Asia
Montenegro,441.13674812,1995,74.0222195122,Europe
Morocco,99.14630645,1995,66.8206829268,Africa
Mozambique,18.04241166,1995,45.8987560976,Africa
Myanmar,13.18729388,1995,60.4114390244,Asia
Namibia,237.26941257,1995,60.0949756098,Africa
Nepal,52.38573283,1995,58.4644146341,Asia
New Zealand,1242.34356467,1995,76.7341463415,Oceania
Nicaragua,140.10572472,1995,67.3427560976,North America
Niger,35.94455315,1995,47.129,Africa
Nigeria,88.96537265,1995,46.1140731707,Africa
Norway,1864.71981731,1995,77.7365853659,Europe
Oman,1012.97557239,1995,69.9885365854,Asia
Pakistan,80.46213018,1995,61.4852926829,Asia
Palau,1305.99438109,1995,71.8446341463,Oceania
Panama,498.49436786,1995,74.1215121951,North America
Papua New Guinea,45.73429267,1995,57.3519512195,Oceania
Paraguay,286.68421798,1995,68.9152195122,South America
Peru,200.84690071,1995,68.0154390244,South America
Philippines,99.58085928,1995,66.0705609756,Asia
Poland,406.86543187,1995,71.8926829268,Europe
Portugal,1017.32810756,1995,75.312195122,Europe
Qatar,2106.00027912,1995,75.869902439,Asia
Romania,183.47300792,1995,69.456097561,Europe
Rwanda,20.72759145,1995,31.6345121951,Africa
Samoa,123.8513571,1995,67.5150243902,Oceania
Saudi Arabia,755.28938344,1995,71.1092926829,Asia
Senegal,50.90094584,1995,57.3796097561,Africa
Sierra Leone,88.16260253,1995,35.7247804878,Africa
Singapore,972.14481843,1995,76.2951219512,Asia
Slovenia,972.26574533,1995,73.9585365854,Europe
Solomon Islands,54.0704758,1995,59.6959512195,Oceania
South Africa,554.92681328,1995,61.3700243902,Africa
Spain,1192.67691395,1995,77.9807317073,Europe
Sri Lanka,101.58003055,1995,69.4186097561,Asia
Sudan,63.3532094,1995,56.5330731707,Africa
Suriname,489.13053067,1995,67.8057317073,South America
Swaziland,182.37682076,1995,56.390804878,Africa
Sweden,1745.09564282,1995,78.7404878049,Europe
Switzerland,2572.81641878,1995,78.4170731707,Europe
Tajikistan,28.29212317,1995,62.3874878049,Asia
Tanzania,37.40402808,1995,48.6915121951,Africa
Thailand,257.4839548,1995,70.2006097561,Asia
Togo,38.43904212,1995,54.7248780488,Africa
Tonga,128.61267991,1995,70.1192682927,Oceania
Trinidad and Tobago,522.09786436,1995,68.3837560976,North America
Tunisia,279.10048297,1995,71.3536585366,Africa
Turkey,180.16971719,1995,66.9819268293,Asia
Turkmenistan,103.38494824,1995,63.0302439024,Asia
Uganda,45.70373496,1995,43.7833170732,Africa
Ukraine,262.79939969,1995,67.1370731707,Europe
United Arab Emirates,2066.4761756,1995,73.1150731707,Asia
United Kingdom,1349.74957198,1995,76.8365853659,Europe
United States,3788.30984177,1995,75.6219512195,North America
Uruguay,1060.04413154,1995,73.5384390244,South America
Uzbekistan,109.3075234,1995,66.3168292683,Asia
Vanuatu,54.16947534,1995,65.4593414634,Oceania
Vietnam,73.93391547,1995,71.8522195122,Asia
Zambia,73.03062,1995,42.0382926829,Africa
Albania,247.13767322,1996,72.5274146341,Europe
Algeria,236.52961023,1996,68.5092195122,Africa
Angola,60.22757641,1996,42.5016341463,Africa
Antigua and Barbuda,612.48490489,1996,72.5388536585,North America
Argentina,661.95018813,1996,72.8873414634,South America
Armenia,100.28470999,1996,69.2168536585,Asia
Australia,1742.66486464,1996,78.0780487805,Oceania
Austria,2325.04866265,1996,76.8707317073,Europe
Azerbaijan,149.65636378,1996,64.994,Asia
Bahrain,1517.7692057,1996,73.775097561,Asia
Bangladesh,32.4400828,1996,62.6295609756,Asia
Barbados,477.02587584,1996,72.488804878,North America
Belarus,252.72085059,1996,68.612195122,Europe
Belgium,1808.7955606,1996,77.1873170732,Europe
Belize,164.43522417,1996,69.219804878,North America
Benin,48.13154517,1996,54.831804878,Africa
Bhutan,143.99661305,1996,57.2057560976,Asia
Bolivia,144.32089302,1996,58.4249512195,South America
Bosnia and Herzegovina,229.65948765,1996,72.208804878,Europe
Botswana,284.54445907,1996,54.3361219512,Africa
Brazil,553.52793846,1996,68.1097317073,South America
Brunei Darussalam,2175.11214451,1996,74.4443170732,Asia
Bulgaria,240.96045347,1996,70.8973170732,Europe
Burkina Faso,35.77392433,1996,49.4435121951,Africa
Burundi,30.87109375,1996,49.4626097561,Africa
Cambodia,61.95748636,1996,55.5860243902,Asia
Cameroon,85.67326204,1996,52.9905365854,Africa
Canada,2073.62744993,1996,78.2304878049,North America
Central African Republic,27.04578263,1996,46.3454878049,Africa
Chad,41.31232081,1996,47.4808292683,Africa
Chile,460.634068,1996,75.2416097561,South America
Colombia,513.70216407,1996,69.7483658537,South America
Comoros,45.52331497,1996,58.9471707317,Africa
Costa Rica,409.19949047,1996,76.741804878,North America
Croatia,628.11993976,1996,72.3653658537,Europe
Cuba,383.93249009,1996,75.6756341463,North America
Cyprus,822.71934658,1996,77.419097561,Asia
Czech Republic,915.39701048,1996,73.7146341463,Europe
Denmark,1980.20178517,1996,75.5914634146,Europe
Djibouti,64.88623977,1996,57.0384146341,Africa
Dominican Republic,245.21625241,1996,69.9163414634,North America
Ecuador,213.76240478,1996,71.6047317073,South America
El Salvador,325.70859649,1996,67.5648292683,North America
Equatorial Guinea,94.30473118,1996,50.7616341463,Africa
Eritrea,44.83989001,1996,53.2285365854,Africa
Estonia,453.3089541,1996,69.612195122,Europe
Ethiopia,13.58443697,1996,49.8099512195,Africa
Fiji,152.86477419,1996,66.8402439024,Oceania
Finland,1550.46608208,1996,76.6934146341,Europe
France,2162.51616018,1996,77.9536585366,Europe
Gabon,499.88667108,1996,60.592097561,Africa
Georgia,134.82326107,1996,70.4519512195,Asia
Germany,2407.36796411,1996,76.6731707317,Europe
Ghana,86.4727978,1996,57.3407804878,Africa
Greece,1303.37104317,1996,77.6853658537,Europe
Grenada,401.83461767,1996,69.4863170732,North America
Guatemala,161.81239488,1996,65.5272195122,North America
Guinea,24.55273331,1996,51.697804878,Africa
Guinea-Bissau,109.92577676,1996,50.7772439024,Africa
Guyana,179.05971116,1996,64.3794634146,South America
Haiti,60.57961728,1996,56.5949512195,North America
Honduras,124.68076507,1996,69.2615121951,North America
Hungary,657.39836598,1996,70.3287804878,Europe
Iceland,1973.44258315,1996,78.777804878,Europe
India,62.84073218,1996,60.9156097561,Asia
Indonesia,94.19598082,1996,65.3058292683,Asia
Israel,1524.60793553,1996,78.1048780488,Asia
Italy,1631.75766126,1996,78.5219512195,Europe
Jamaica,299.29538423,1996,71.968195122,North America
Japan,1567.22639237,1996,80.2002439024,Asia
Jordan,478.62199035,1996,71.0956829268,Asia
Kazakhstan,263.64003174,1996,64.1097560976,Asia
Kenya,68.76828068,1996,53.4,Africa
Kiribati,100.67305171,1996,62.8373170732,Oceania
Kuwait,2061.89390112,1996,72.9850731707,Asia
Latvia,250.08745953,1996,68.7765853659,Europe
Lebanon,1204.8678562,1996,72.5171707317,Asia
Lesotho,84.61935518,1996,55.1069268293,Africa
Libya,614.01966652,1996,70.1010243902,Africa
Lithuania,371.16640228,1996,70.1080487805,Europe
Luxembourg,2292.58526631,1996,76.5195121951,Europe
Madagascar,46.54555874,1996,55.427,Africa
